id,name,category_id,thinker_id,description,complexity,applicability
106,Redundancy/Backup Systems,6,1,Multiple systems ensure reliability when one fails.,3,0.9
107,Breakpoints/Phase Transitions,6,1,Points where systems shift to fundamentally different states.,4,0.85
108,Friction & Efficiency Losses,6,1,Real systems have friction that reduces efficiency.,2,0.85
109,Reliability Engineering/Safety Margins,6,1,Build in safety factors to handle unexpected stresses.,3,0.9
110,Feedback Loops - Positive (Reinforcing),6,3,Self-reinforcing cycles that amplify changes.,4,0.9
111,Feedback Loops - Negative (Stabilizing),6,1,Self-correcting cycles that maintain equilibrium.,3,0.85
112,Bottlenecks & Constraints,6,1,System output limited by the weakest link.,3,0.9
113,Nonlinearity,6,1,Disproportionate responses - small inputs can cause large outputs.,4,0.85
114,System Resilience vs. Fragility,6,1,Some systems strengthen under stress; others break.,4,0.85
115,Evolution by Natural Selection,7,1,"Variation, selection, and retention drive adaptation.",3,0.9
116,Adaptation & Fitness Landscapes,7,1,Organisms and organizations adapt to their environment.,4,0.85
117,Red Queen Effect,7,1,Must run hard just to stay in place as competitors evolve.,3,0.85
118,Niches & Ecological Competition,7,1,Specialization in narrow niches can be highly successful.,3,0.85
119,Population Dynamics,7,1,Boom-bust cycles in populations and markets.,3,0.8
120,Autopsy Learning,7,1,Study failures and deaths to learn what went wrong.,3,0.9
121,Corporate Governance,8,1,Board incentives and oversight structures matter.,4,0.85
122,Management Incentives & Compensation Design,8,1,How managers are paid determines how they behave.,4,0.9
123,Culture as a Control System,8,1,Norms and culture are more powerful than formal rules.,4,0.9
124,Bureaucratic Inertia & Empire Building,8,1,Organizations naturally grow bureaucracy and resist change.,3,0.9
125,Information Suppression/Shooting the Messenger,8,1,Bad news gets filtered out as it moves up the hierarchy.,3,0.85
126,Five W's Rule in Communication,8,1,"Always tell who, what, where, when, and especially WHY.",2,0.9
127,Checklists & Standard Operating Procedures,8,1,Systematic processes reduce errors and ensure consistency.,2,0.9
128,"Talent, Trust, and Delegation",8,1,"Few, high-quality people with trust and autonomy outperform bureaucracy.",4,0.9
129,Avoiding Madness in Crowds,8,1,Resist groupthink and maintain independent judgment.,4,0.9
